Name,M,J,S,A1t,A2t,A4t,A5t,A6t,A7t,A8t,A9t,A10t,A11t,A12t
1a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5a,1,1,0,1,1,1,1,1,1,1,1,1,1,1
6a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7a,1,1,1,1,1,1,1,1,1,1,1,1,0,1
8a,0,0,0,0,1,0,0,0,1,0,1,0,0,1
9a,0,0,0,1,1,1,1,0,1,1,1,1,1,0
10a,0,0,0,0,1,0,1,1,1,1,1,1,1,1
11a,0,0,0,0,0,0,1,1,0,0,0,0,0,0
12a,0,0,0,1,1,0,1,1,1,1,1,0,0,1
13a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14a,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15a,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16a,0,1,1,0,0,0,1,0,0,0,0,0,0,0
17a,1,1,1,0,1,1,1,0,1,1,1,1,1,0
18a,0,1,0,1,1,1,1,1,1,1,1,1,1,1
19a,0,0,0,0,0,1,1,1,0,0,0,0,0,0
20a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21a,1,1,1,1,1,0,0,1,0,1,0,1,0,0
22a,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24a,0,1,1,0,0,0,1,1,1,1,0,1,1,1
25a,0,0,0,1,1,0,0,0,1,1,1,1,1,1
26a,0,1,0,0,1,0,0,0,0,0,0,0,0,0
27a,0,1,0,0,1,1,1,1,1,1,1,1,0,1
28a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29a,0,1,1,1,1,1,1,1,1,1,1,1,1,1
30a,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31a,1,1,1,0,0,0,0,0,0,0,0,0,0,0
32a,0,0,0,0,1,1,1,0,1,1,1,1,1,1
33a,0,0,0,1,0,1,1,1,1,1,0,0,1,1
34a,1,1,1,0,1,1,1,1,0,1,1,1,1,1
35a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36a,1,1,1,0,1,1,0,0,0,0,0,0,0,0
37a,0,0,1,1,0,0,0,1,1,1,1,1,1,1
38a,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39a,0,0,0,0,0,0,1,0,1,0,0,1,0,1
40a,0,0,0,0,0,1,1,1,0,0,0,0,0,0
41a,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42a,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43a,1,1,0,0,1,1,1,1,0,1,1,1,1,1
44a,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45a,0,1,1,1,1,1,1,1,1,1,1,1,1,1
46a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47a,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48a,0,1,0,0,0,0,0,1,0,0,0,0,0,1
49a,0,1,0,0,1,1,1,1,1,1,1,0,1,1
50a,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51a,0,0,0,1,1,1,1,1,1,1,1,1,1,1
52a,0,1,1,0,0,0,0,0,0,0,0,0,0,0
53a,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54a,1,1,1,0,0,1,0,0,1,0,0,0,0,0
55a,0,0,0,1,1,1,1,1,1,1,1,1,1,1
56a,1,1,1,1,1,1,1,1,1,1,0,1,1,1
57a,0,0,0,1,0,1,0,1,1,0,0,0,0,0
58a,0,0,0,0,1,1,1,1,1,1,1,1,1,1
59a,1,1,0,0,0,1,0,0,0,0,0,0,0,0
60a,1,1,1,1,1,1,1,0,1,1,1,1,1,1
61a,0,0,0,0,0,0,1,0,0,0,1,0,1,0
62a,1,1,0,0,0,0,0,0,0,0,0,0,0,0
63a,1,0,0,0,0,0,0,0,0,0,1,0,1,1
64a,0,0,0,1,0,0,1,1,0,1,1,0,1,0
65a,1,1,1,0,0,0,0,0,0,0,0,0,0,0
66a,1,1,0,0,0,0,0,0,0,0,0,0,0,0
67a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69a,0,0,0,0,1,0,0,0,1,1,0,0,0,0
70a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71a,0,1,0,0,0,0,1,1,0,0,0,0,0,0
72a,0,0,0,1,1,1,1,1,0,1,1,1,1,0
73a,1,1,0,1,0,1,1,1,0,1,1,1,1,1
74a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75a,0,0,0,1,1,1,1,1,1,1,1,1,1,1
76a,1,0,1,0,0,0,0,0,0,0,0,1,0,0
77a,1,1,1,0,0,0,0,0,0,0,0,0,0,0
78a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80a,1,1,1,1,1,0,0,1,1,1,1,1,1,1
81a,0,0,0,0,0,0,0,0,0,0,1,0,1,1
